Algorithm: Kruskal's MST
MST edges:
62810 86493 1
10878 27953 1
10880 19266 1
10883 63187 1
73320 77107 1
1332 12308 1
10891 48721 1
27504 48180 1
1329 87688 1
1329 5010 1
63141 92657 1
10911 76765 1
11031 27199 1
27488 80252 1
10915 93646 1
73283 99008 1
10935 21046 1
26794 63044 1
63126 85794 1
27444 83596 1
72894 78725 1
27437 45111 1
26817 36234 1
10956 29018 1
48803 52698 1
27029 45955 1
89112 96489 1
11124 23389 1
11254 47641 1
63044 90003 1
63044 70564 1
11132 20666 1
11134 50359 1
27002 83892 1
48635 62429 1
27137 61774 1
11147 39253 1
11227 44874 1
11110 12298 1
1251 8291 1
27110 30809 1
73031 76592 1
27091 42442 1
1253 63847 1
27088 86034 1
11186 18448 1
27074 88897 1
27054 28893 1
63003 75539 1
73062 74882 1
48679 76829 1
48558 59814 1
48780 85280 1
11327 14924 1
27318 92906 1
73174 81319 1
11322 18296 1
63076 73019 1
62901 77198 1
48550 51619 1
27291 96335 1
73169 75132 1
27287 54965 1
48558 51073 1
73342 91665 1
27282 51886 1
26933 46004 1
26934 84726 1
1235 1668 1
11069 97247 1
48756 97732 1
11084 85008 1
27234 34147 1
48585 73274 1
11093 78471 1
27201 29910 1
27945 42700 1
10519 71103 1
10521 38307 1
1406 10038 1
62588 62638 1
26347 82994 1
26383 86170 1
26387 34502 1
88479 99294 1
26409 90509 1
11636 52744 1
26427 81736 1
26440 29855 1
26323 26725 1
72660 77495 1
27934 86558 1
10603 30125 1
1387 45002 1
10629 21286 1
63256 95401 1
48218 84279 1
26490 93605 1
27882 44410 1
1153 17150 1
27875 86289 1
26500 72985 1
10425 51534 1
1445 59105 1
1445 9035 1
48026 70491 1
28254 37359 1
28253 76767 1
1115 17989 1
10398 17842 1
28242 91591 1
28239 41671 1
62477 82647 1
48040 76346 1
28217 54622 1
27855 84690 1
10439 73053 1
10444 35033 1
73699 87285 1
63365 80377 1
88412 97345 1
26264 42635 1
28131 36585 1
48108 82455 1
10484 84211 1
1415 69370 1
26288 75519 1
26291 63925 1
48905 72150 1
1357 2052 1
26617 31832 1
62745 65369 1
26635 69946 1
27675 93245 1
1355 3670 1
88646 93714 1
73417 88546 1
10782 73614 1
88675 90786 1
11476 63390 1
1351 43510 1
48321 53503 1
27630 51573 1
72838 99546 1
26686 88610 1
10829 22336 1
48870 62346 1
26696 67755 1
11454 84595 1
1340 4413 1
27568 31443 1
48403 86390 1
10859 32695 1
27549 69223 1
73482 76479 1
11586 17489 1
27855 43567 1
63240 92361 1
11580 48644 1
10664 98402 1
1374 16629 1
48255 67625 1
11564 62020 1
55804 82368 1
1162 23734 1
73495 97252 1
48273 72361 1
25170 53640 1
26556 58817 1
10715 18032 1
27770 78655 1
10721 98139 1
10725 71976 1
88603 95001 1
11533 62837 1
48947 96220 1
26597 67240 1
26602 58172 1
1169 68649 1
8301 27897 1
46390 70956 1
8264 18202 1
31601 56813 1
31599 42973 1
61018 70255 1
50525 59298 1
13474 77042 1
61020 91282 1
13470 13921 1
23977 83126 1
23978 57662 1
8296 87631 1
31614 40512 1
8302 86491 1
50490 76832 1
46426 73673 1
23996 24579 1
8314 75816 1
61053 92931 1
8332 26493 1
46443 68063 1
24018 33387 1
31472 97511 1
50467 75735 1
8339 17033 1
13520 45406 1
75854 94293 1
46329 48896 1
13557 92244 1
8190 54991 1
56269 95774 1
23844 30234 1
765 5622 1
64494 82186 1
13545 83102 1
64487 64871 1
13527 95626 1
13522 37162 1
56233 94330 1
13514 49378 1
64470 74974 1
71197 94241 1
61001 62353 1
31640 36220 1
23920 60189 1
56258 93260 1
13496 66675 1
31623 58426 1
13490 35065 1
13487 62256 1
23930 51453 1
56193 69669 1
8431 46990 1
61121 66755 1
31294 81571 1
50397 66856 1
13333 18425 1
8469 76449 1
64347 74058 1
8471 53364 1
31244 81462 1
31228 99635 1
46564 90949 1
13299 31689 1
50403 57474 1
61177 93634 1
13290 94782 1
71352 96911 1
1891 59908 1
1891 41503 1
1891 7535 1
24177 87419 1
24179 38942 1
86918 93148 1
8526 30405 1
8528 27420 1
8533 64922 1
8405 80072 1
24035 30077 1
24036 62472 1
793 19759 1
794 42030 1
31408 33193 1
64392 67686 1
13375 69474 1
24053 36960 1
31393 73045 1
31388 78427 1
13369 98240 1
50427 63378 1
60960 88567 1
46513 93023 1
24076 49075 1
8408 89411 1
1916 25345 1
56211 76018 1
75523 91468 1
24086 35309 1
24089 40556 1
75516 82661 1
1912 18951 1
90790 93958 1
91213 97807 1
46104 57711 1
23534 98260 1
23540 83093 1
7924 18740 1
23546 28334 1
7928 47776 1
76101 76742 1
32179 50233 1
7935 21667 1
719 82295 1
13795 61630 1
76069 96647 1
23531 44061 1
13783 80022 1
70967 88450 1
70969 96725 1
13781 93603 1
23577 46660 1
76059 79176 1
32122 70186 1
7973 11192 1
7974 47953 1
64658 85363 1
23604 38789 1
13765 19737 1
46071 65782 1
699 67872 1
13903 16910 1
55177 59679 1
76223 98810 1
23444 66092 1
46040 99987 1
50857 67673 1
7842 9224 1
86402 97291 1
13862 77415 1
13861 46603 1
60723 87206 1
23630 57630 1
23482 69082 1
2059 5462 1
707 98927 1
708 49136 1
2053 41021 1
7884 29094 1
46086 92293 1
32254 97421 1
13833 28660 1
50805 84977 1
23521 31984 1
32236 51087 1
8125 48037 1
56293 78650 1
8084 16913 1
13644 97988 1
60890 99340 1
91070 95747 1
8100 95532 1
75927 80335 1
60891 73565 1
23754 76796 1
31896 32036 1
13604 41793 1
23776 44987 1
8081 9990 1
31856 86279 1
13588 25965 1
754 98689 1
8141 51769 1
46300 66003 1
31812 99198 1
60940 79280 1
23808 65224 1
64525 78423 1
55239 87147 1
8181 15123 1
13561 18563 1
738 7189 1
71014 80700 1
23646 28538 1
32052 90332 1
8011 33059 1
23660 97293 1
60842 78032 1
91131 98155 1
55211 83063 1
46193 80501 1
2018 19655 1
56312 70905 1
8032 39143 1
31159 53813 1
46210 88712 1
50698 83619 1
31991 69800 1
13678 50152 1
31976 37564 1
75969 94158 1
13668 36695 1
740 85083 1
8071 96885 1
742 9026 1
31936 33750 1
1733 29052 1
12802 98472 1
56096 67217 1
30272 55254 1
30269 32585 1
61570 92030 1
9090 68168 1
9095 65836 1
49898 53524 1
56083 83139 1
30186 36390 1
30162 49154 1
74835 84225 1
49965 56422 1
49887 54239 1
61609 96479 1
9135 13650 1
47084 66568 1
1731 6932 1
9137 35019 1
9142 15604 1
30126 95726 1
55413 58561 1
12732 17136 1
49868 57766 1
47090 78540 1
24770 30147 1
50043 82901 1
30475 53665 1
61454 79305 1
8930 31897 1
30442 69676 1
1774 1808 1
24732 38675 1
30427 49532 1
896 96858 1
55373 91583 1
30392 33094 1
24760 55162 1
90290 93959 1
30380 52602 1
24788 55268 1
8991 64994 1
64028 73298 1
74953 97445 1
30329 54245 1
64025 86703 1
9010 11296 1
30327 43578 1
12830 53218 1
64024 82792 1
9022 97968 1
25128 38878 1
948 3139 1
25087 97566 1
74660 89273 1
9301 19947 1
9312 80397 1
12594 92629 1
950 58695 1
49783 92680 1
12587 39366 1
1684 82973 1
1684 77654 1
29825 32781 1
1695 12151 1
49772 73185 1
47224 98891 1
9338 34669 1
12558 90043 1
47227 49362 1
29804 69124 1
49767 54641 1
47244 87992 1
25158 53908 1
49760 88862 1
49759 87460 1
9353 58804 1
9234 61848 1
30082 85071 1
12718 15306 1
9183 11395 1
24964 28730 1
24967 28546 1
12702 19384 1
30011 62572 1
47123 89051 1
49835 53963 1
9219 19187 1
24996 46847 1
29968 48280 1
1781 2395 1
56067 95426 1
1709 54920 1
9249 16424 1
47154 93840 1
12650 18518 1
12642 18249 1
74695 92254 1
12628 46750 1
49804 70837 1
12614 50414 1
947 5706 1
61263 95085 1
71440 92990 1
30995 67891 1
50238 51448 1
8626 18916 1
64256 97733 1
64244 95253 1
50228 62815 1
30989 96052 1
24348 45179 1
8636 25065 1
50203 60660 1
24372 34436 1
13194 13331 1
87020 94716 1
8652 69733 1
50194 78039 1
30922 78292 1
46739 85127 1
64210 82677 1
50181 55366 1
61281 76271 1
30899 66258 1
30874 57312 1
855 57967 1
24450 85999 1
24266 72138 1
8536 11642 1
24190 28946 1
31150 70497 1
46615 77718 1
13255 54473 1
75396 82845 1
8549 54003 1
8554 96637 1
24242 44334 1
64285 82998 1
46657 95305 1
1873 45946 1
55346 55633 1
13211 90674 1
75363 83895 1
71427 96099 1
31054 62571 1
55315 62776 1
46678 51754 1
24287 65859 1
31018 98852 1
46688 66970 1
24289 34046 1
8612 31498 1
8872 64119 1
1802 2691 1
61405 82758 1
8836 30792 1
12970 57055 1
1800 7979 1
1796 2118 1
30574 76480 1
87173 93862 1
24662 83414 1
50070 95118 1
8857 41949 1
61424 81858 1
12976 23639 1
30546 33738 1
30538 65446 1
8889 10226 1
30526 81036 1
24693 83324 1
12920 77170 1
887 42249 1
888 3040 1
61449 79112 1
12916 57592 1
24709 29042 1
889 84050 1
61352 65216 1
8696 9096 1
64195 69417 1
50157 96610 1
8703 58331 1
858 92776 1
1836 6792 1
13072 15405 1
13065 24845 1
8726 9317 1
24507 75791 1
8747 10833 1
24534 39266 1
42100 78035 1
8768 45736 1
13026 14443 1
13024 59692 1
30700 81948 1
24567 43888 1
13012 13298 1
90508 95136 1
870 95957 1
30679 82737 1
64134 81043 1
8824 48870 1
18771 46481 1
40319 60317 1
17200 61572 1
39709 82848 1
4489 4621 1
18157 48794 1
3248 27156 1
54150 69563 1
18604 53319 1
17878 19691 1
41555 67583 1
40089 73393 1
3046 77754 1
18675 20786 1
22 78632 1
53969 92066 1
81 3471 1
42923 74305 1
3807 34564 1
4584 25210 1
18164 51718 1
57234 98719 1
57687 92851 1
19621 28706 1
40096 55729 1
3546 6830 1
3763 92826 1
34 1981 1
54117 55494 1
4052 27133 1
3894 5167 1
40938 47467 1
3446 54030 1
43081 46293 1
18352 26452 1
40485 78434 1
18609 28674 1
18427 19072 1
3288 65097 1
40482 49218 1
157 98631 1
4353 34696 1
41156 84032 1
18398 45877 1
4461 14692 1
53594 74812 1
40696 80672 1
4015 10641 1
40086 83828 1
57586 82703 1
18033 75586 1
3069 13389 1
17390 90902 1
17484 19279 1
18671 63082 1
3864 15413 1
4403 15738 1
19608 59301 1
3036 3200 1
4594 75242 1
3024 91905 1
4214 53360 1
42913 71793 1
39354 42038 1
18017 68907 1
3129 11044 1
42216 51624 1
82047 89447 1
3155 22914 1
19605 22346 1
17772 48795 1
39219 48995 1
19086 81797 1
4596 11829 1
19418 47305 1
58033 83283 1
39565 62816 1
57981 67772 1
17967 66760 1
40267 71834 1
3672 5748 1
3130 52380 1
3855 18708 1
19084 68769 1
3405 66439 1
18321 43226 1
81155 99677 1
84007 92013 1
4588 10386 1
68086 73781 1
166 32748 1
17563 63970 1
18863 19397 1
40397 79853 1
3298 12132 1
3404 79748 1
4454 24286 1
19808 28934 1
127 213 1
3098 9252 1
95083 96178 1
39229 59020 1
54108 70252 1
